,tweet,label
0,"@gibran_tweet Ki Ageng Selo Grobogan, Sakti Bisa Menangkap Petir, sementara Mas Gibran Rakabuming Raka Sakti Bisa Menangkap Api.",kontra
1,Ketua DPR RI Puan Maharani dan Wali Kota Solo Gibran Rakabuming Raka tampak semobil usai menghadiri acara pembukaan Muktamar Muhammadiyah.  https://t.co/Ui1CtxlUQ0,netral
2,"PUAN IKUT AJAK GIBRAN MAKAN SIANG...  Sebelumnya pertemuan makan antara Gibran Rakabuming Raka dengan calon presiden, Anies Baswedan ramai diperbincangan. Kini, Wali Kota Solo itu diajak makan kembali oleh Ketua DPR RI, Puan Mahara… https://t.co/07cZN78yXT  https://t.co/1S8X9bbbdy",kontra
3,"Seharusnya, adik dari Wali Kota Solo Gibran Rakabuming Raka ini, menaiki pesawat Lion rute Jakarta-Solo pada 11 November lalu pukul 6.45 WIB. Namun, jadwal penerbangan diundur, dialihkan dengan maskapai yang berbeda. #LionAir #KaesangPangarep #Qatar2022   https://t.co/HQAW4FKTkA",netral
4,Ketua DPR RI Puan Maharani dan Wali Kota Solo Gibran Rakabuming Raka tampak semobil usai menghadiri acara pembukaan Muktamar Muhammadiyah.  https://t.co/mpUvZTdLC9,pro
5,"Hallo #sedulurmajeng  Alhamdulilah, akhirnya kirab obor Pospenas IX telah tiba di Kota Surakarta di terima oleh Wali Kota Solo Gibran Rakabuming Raka, Selasa (22/11).   #kemenagjatengmajeng #pospenas2022  https://t.co/TR5cOqHlRp",pro
6,"Sejumlah undangan pernikahan Kaesang Pangarep dengan Erina Gudono telah disebar. Informasi tersebut diungkapkan Wali Kota Solo sekaligus kakak pertama Kaesang, Gibran Rakabuming Raka #panitianikahankaesang #Kaesang #erinagudono @kaesangp @gibran_tweet   https://t.co/jRMwQDsdZQ",pro
7,"Wali Kota Solo, Gibran Rakabuming Raka, meninjau lokasi Musyawarah Nasional Hipmi XVII di Hotel Alila Solo, pagi ini. Berikut penampakannya.   https://t.co/DgnO5XdWyB",pro
8,"Wali Kota Solo, Gibran Rakabuming Raka, meninjau lokasi Musyawarah Nasional Hipmi XVII di Hotel Alila Solo, pagi ini. Berikut penampakannya.   https://t.co/17YicJ4Gi9",pro
9,Selasa 22 Nop 2022 Babinsa Sriwedari Koramil 01 Kodim 0735/Ska pantau kegiatan  Estafet Obor Pospenas IX bertempat di Stadion Sriwedari Obor Diserahkan dr Bpk Sumarno Sekda Provinsi Jateng kepada Bpk Gibran Rakabuming Raka Walikota Surakarta  #babinsasurakarta #pendimsurakarta  https://t.co/vJPXCNq0Ac,pro
