,tweet,label
0,"@WagimanDeep212_ Klo saya boleh jujur mungkin ibu iriana lebih baik untuk jadi capres menggantikan jokowi, ketimbang ibuk ini.  Bu iriana sosok yg selalu ada di samping pak jokowi, beliau dekat dengan rakyat dan penuh kelembutan, saya yakin beliau mampu",pro
1,Untuk Bu Iriana..  Pedofil |  NPWP | Jokowimendunia #iriana | Google Play PBSI  https://t.co/Zp2GBFqihU,pro
2,"@hasyimmah Whoaaahhh dari raut wajahnya orang jutekan ini , kalo ga sama tinggi nya ga ramah modelnya… Udah Ganti calon aja, Bu Iriana hehe.. ibuku yg baik hati n ramah beeuut…",pro
3,Bu Iriana Joko Widodo (sendirian...)  https://t.co/5IBxn2Xo55,pro
4,@Prayogarh_ bu iriana ta sg ngomong?,kontra
5,"@AnnisaPohan Udah kebelet pengen jadi Ibu Negara spt bu Iriana ya, neng ? Ngimpi ! 🤣🤣🤣 Tidur lagi sana, biar bisa ngimpi.",pro
6,"Lah, kok saya “baper” lihat foto Bapak @jokowi dan Ibu Iriana.. 😄 sehat-sehat ya Pak~Bu..  https://t.co/yLfD72eO9S",pro
7,@Urrangawak @Ari3Pras @ganjarpranowo Bu atikah lbh pantes jd ibu negara drpd ibu yg itu 😁  11-12 dgn bu Iriana wis 😇  #ojodibandingke,pro
8,@Kanjeng2022 @ganjarpranowo Coba survei test masukan nama Bu. Iriana Jokowi,pro
9,"@Tita83079013 Semoga Bu Iriana Joko Widodo istiqamah dg hijabnya, barakah sisa usianya, dan khusnul khatimah 🤲🤲🤲  https://t.co/7oIid3ibPN",pro
10,@gibran_tweet Gibran:pak Rocki kenapa selalu nyinyir sama pak Jokowi RG: sebab klw nyosor Takut di omelin Bu iriana 🤣🤣🤣,pro
11,"@gibran_tweet #giveaway #gibranrokygerung Om roky tanya, bener lo anak jokowi? Mas gibran jawab, mboten kulo yogane bu iriana 🤣🤣",pro
12,"Saat berkunjung ke TK Pertiwi Kliwonan 1, Kabupaten Sragen, Bu Iriana @jokowi memborong dagangan Pak Slamet.   ""Ada es di sana, diambil ya,"" kata Bu Iriana.  ""Ya bilang ini, bagi-bagi rezeki itu, untuk anak-anak. Senang sekali, senang sekali,"" kata Pak Slamet.  https://t.co/NAwvoCvbVU",pro
13,@KompasTV @DiabetasolID Bu Iriana ... Sanggulnya dimana ya ??? 🤔🤔🤔,kontra
14,Arumi Bachsin promosikan batik kepada Bu Iriana. #arumibachsin #jokowi #ibuiriana #beritaterkini #kabarterkini #infoterkini   https://t.co/taxYzWmTrC,pro
15,"Diundang Iriana Jokowi ke Pernikahan Kaesang-Erina, Bupati Sragen: Saya Diberi Tugas Apa, Bu?  https://t.co/UXv3bu74wR",pro
